ISO,Migrant remittance inflows (US$ million),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
LSO,Lesotho,291.00,348.00,378.00,323.00,224.00,255.00,353.00,372.00,365.00,998.59,1022.33,1121.34,1037.07,1132.75,1086.08,930.88,873.84,631.20,524.89,477.60,401.26,388.68,556.87,627.16,599.30,613.86,638.15,575.86,547.93,610.12,649.34,554.56,462.92,392.99,370.83,453.53,549.81,543.79,495.22,426.74
LBR,Liberia,,,,,,,,,,,,,,,,,,,,,,,,58.45,31.85,78.81,61.98,58.12,25.12,294.20,523.00,546.82,412.75,512.00,654.42,580.13,403.48,459.92,346.24,333.40
LTU,Lithuania,,,,,,,,,,,,,0.03,0.74,1.10,2.58,2.93,3.43,3.00,49.94,79.15,109.25,114.83,577.50,745.27,994.41,1433.10,1565.31,1239.84,1673.16,1955.42,1507.18,2059.90,2113.24,1372.82,1279.93,1302.55,1386.98,1303.94,790.58
MAC,Macao SAR,,,,,,,,,,,,,,,,,,,,,,46.60,47.74,53.33,53.15,55.47,54.39,51.60,48.38,46.85,48.29,46.91,48.66,36.86,39.53,27.59,25.43,22.80,21.56,21.56
MDG,Madagascar,0.22,0.11,0.12,5.64,4.57,5.87,4.65,4.03,9.74,4.48,9.03,12.11,11.73,10.88,9.10,6.24,12.18,11.46,11.62,11.27,10.87,29.32,16.23,11.51,101.70,150.26,254.49,313.99,283.72,455.83,335.02,330.50,357.75,344.44,326.84,299.20,342.78,425.50,407.68,391.86
MWI,Malawi,,,,,,,,,,,,,,0.77,0.52,0.65,0.74,0.75,0.75,0.75,0.75,0.84,13.90,18.32,22.53,14.79,21.01,16.67,16.66,21.77,25.32,28.30,34.13,38.49,41.49,39.05,78.39,180.58,217.46,189.02
MYS,Malaysia,,,,,,,48.82,99.66,139.00,185.22,130.18,153.10,175.60,119.27,115.80,164.15,194.44,189.58,322.89,342.37,367.11,435.00,571.05,801.87,1116.97,1365.48,1556.24,1329.07,1130.87,1102.90,1211.50,1293.81,1423.37,1579.52,1643.72,1603.92,1648.94,1685.58,1638.17,1453.95
MDV,Maldives,,,2.50,2.50,,1.00,1.00,1.20,1.40,1.70,1.80,1.60,1.30,2.17,2.37,2.71,2.45,2.45,2.20,2.20,1.82,2.01,2.01,2.90,2.26,2.80,7.93,6.27,4.51,3.16,3.00,3.15,3.30,3.47,3.64,3.83,4.02,4.22,4.22,4.22
MLI,Mali,47.66,39.41,36.48,32.50,67.00,68.44,88.18,73.23,75.95,106.92,93.01,116.55,125.62,103.19,112.11,110.72,91.72,84.46,86.31,73.16,88.17,137.65,153.80,155.46,177.20,211.84,343.92,430.99,453.74,472.75,784.11,827.46,894.51,920.26,816.60,826.68,883.26,1022.07,1022.07,987.30
MHL,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,23.70,25.99,25.14,23.06,23.59,22.21,22.15,23.24,24.56,26.08,27.34,28.34,30.45,31.45,31.45,31.00
MRT,Mauritania,3.71,2.32,1.22,0.96,0.79,1.86,6.70,9.30,4.78,13.71,11.74,50.13,2.27,4.90,5.45,4.37,2.69,2.21,,,,,,,,,,,,,,,,,,,77.20,60.39,64.46,61.29
MUS,Mauritius,,,,,,,,,,,,,,118.00,132.00,160.00,168.00,180.00,178.00,177.00,215.00,215.00,215.00,215.00,215.00,215.00,215.00,215.00,211.00,226.00,249.00,249.00,249.00,327.04,223.58,194.07,250.24,244.62,318.51,271.58
MEX,Mexico,1220.00,1226.00,1391.00,1564.00,1619.00,1771.00,1987.00,2442.00,2790.00,3098.00,3030.00,3700.00,3979.00,4121.82,4368.12,4949.00,5545.80,6501.25,6648.63,7524.74,10146.26,11029.45,16653.69,19861.75,22741.84,26542.80,26879.86,26041.49,22075.73,22080.26,23445.66,23208.65,23188.81,24802.08,26233.17,28690.96,32270.51,35768.42,39021.79,42880.32
FSM,"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35,18.07,19.43,20.80,22.05,23.34,23.34,23.34,23.34,23.34,23.34,23.34
MDA,Moldova,,,,,,,,,,,,,,,1.02,87.08,114.32,122.17,110.41,177.58,242.21,322.59,484.02,701.37,915.08,1175.82,1491.26,1888.02,1352.30,1752.83,1813.11,1986.44,2191.54,2075.92,1540.12,1467.22,1637.87,1837.64,1909.63,1876.45
MNG,Mongolia,,,,,,,,,,,,,,,,,,5.50,7.87,1.10,26.68,68.70,79.36,202.51,176.95,155.19,178.03,224.60,199.62,266.24,249.64,323.84,257.13,255.12,260.91,259.88,273.36,440.55,560.93,549.01
MNE,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,196.43,298.10,303.17,416.00,509.61,507.50,545.31,543.35,469.73,480.84,523.00,588.91,584.32,600.70
MAR,Morocco,1010.39,849.33,916.84,873.93,972.37,1401.32,1591.67,1301.22,1340.12,2006.35,1990.23,2170.45,1958.98,1827.07,1969.50,2165.47,1892.81,2010.64,1938.11,2160.96,3260.92,2877.15,3613.92,4220.84,4589.23,5451.37,6730.47,6894.29,6269.12,6422.54,7256.31,6507.91,6881.70,7788.70,6903.54,6383.47,6823.00,6919.42,6962.58,7418.56
MOZ,Mozambique,64.50,63.50,75.20,57.00,40.80,50.00,58.00,71.60,71.30,,,,,,,,,,,,,,,,58.89,80.03,99.39,115.74,111.13,115.78,129.67,174.11,152.41,155.46,142.88,93.37,257.94,296.07,299.57,348.81
MMR,Myanmar,,,,,,,5.91,6.77,9.19,5.91,1.54,0.28,28.25,41.56,80.58,122.45,147.21,135.82,135.05,102.15,116.16,105.39,84.41,116.57,129.49,115.17,81.01,54.74,54.47,114.85,127.08,274.62,1643.90,1863.93,2004.62,2346.42,2578.11,2840.46,2421.35,2249.55
NAM,Namibia,,,,,,,,,,11.52,13.07,15.36,14.54,14.90,15.60,13.51,13.30,11.22,9.90,9.16,8.45,7.56,11.79,14.59,17.50,16.44,15.68,13.56,76.50,69.21,78.76,80.11,64.10,80.72,46.67,66.48,48.29,53.67,60.70,55.99
NPL,Nepal,,,,,,,,,,,,,54.83,50.12,56.82,44.16,49.46,67.50,83.46,111.50,146.99,678.49,771.07,822.61,1211.82,1453.23,1733.86,2727.14,2983.34,3464.09,4216.89,4792.51,5583.70,5888.65,6729.94,6611.84,6928.13,8293.84,8249.50,8101.57
NIC,Nicaragua,,,,,,,,,,,,10.00,25.00,50.00,75.00,95.00,150.00,200.00,300.00,320.00,335.70,376.50,438.80,518.80,615.70,697.50,739.60,819.90,770.30,824.80,913.60,1016.30,1081.30,1140.20,1197.50,1268.10,1394.70,1504.80,1686.40,1855.40
NER,Niger,9.18,7.13,6.84,7.46,8.98,15.97,16.13,15.70,13.23,13.89,13.02,18.17,15.87,6.90,7.71,4.50,5.34,18.78,26.64,14.46,21.99,19.06,25.54,59.82,66.40,78.18,79.46,94.11,102.13,134.42,166.20,151.83,145.91,219.08,171.59,176.37,264.04,296.68,308.66,300.14
NGA,Nigeria,16.19,17.82,13.80,11.74,10.07,3.99,2.74,2.42,10.18,10.01,65.54,56.45,793.15,549.87,250.04,296.59,585.74,448.55,1301.06,1391.83,1166.61,1208.96,1062.82,2272.73,14640.08,16932.14,18014.43,19199.97,18370.80,19744.76,20616.77,20542.88,20797.07,20999.10,20626.05,19697.94,22037.02,24311.02,23809.28,17207.55
MKD,North Macedonia,,,,,,,,,,,,,,,,67.78,77.69,63.20,76.54,80.92,73.44,105.90,173.66,213.02,226.57,266.56,345.01,406.63,381.15,387.93,434.12,394.15,376.07,366.52,306.66,290.84,314.50,344.45,317.09,413.00
PAK,Pakistan,2070.00,2590.00,2940.00,2580.00,2540.00,2450.00,2180.00,1870.00,2020.00,2006.27,1548.70,1573.62,1446.28,1749.28,1712.22,1284.05,1707.28,1172.00,996.00,1075.00,1461.00,3554.00,3964.00,3945.00,4280.00,5121.00,5998.00,7039.00,8717.00,9690.00,12263.00,14007.00,14629.00,17244.00,19306.00,19819.00,19856.00,21193.00,22245.00,26105.00
PLW,Palau,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1.54,1.53,1.60,1.59,1.69,1.97,2.36,2.36,2.22,2.27,2.36,2.18,2.18,2.18,2.18
PAN,Panama,61.70,75.50,78.10,74.00,99.00,100.40,104.40,102.10,102.10,109.70,108.10,102.40,108.70,112.00,112.00,86.20,64.30,58.20,48.30,16.40,73.10,84.60,106.80,108.90,129.60,300.50,355.30,378.00,337.00,410.00,368.20,410.90,461.40,756.40,554.20,502.52,533.36,537.88,580.85,446.96
PNG,Papua New Guinea,4.74,6.10,4.31,5.35,5.61,7.01,13.43,10.01,7.23,,,,,,,,,,,,,5.66,6.99,9.53,6.85,4.41,7.62,7.35,4.73,3.50,12.30,14.25,14.28,10.47,3.94,2.69,4.26,3.67,3.00,2.00
PRY,Paraguay,63.10,41.40,33.20,24.00,9.60,13.70,22.70,23.90,39.50,33.80,42.40,63.90,94.60,147.90,134.90,136.90,141.20,142.60,148.00,151.70,140.00,98.70,109.50,132.00,161.30,336.00,340.79,362.63,377.30,409.89,540.67,634.10,623.28,506.64,553.64,656.86,704.07,682.87,665.99,583.71
PER,Peru,,,,,,,,,,87.00,148.00,240.00,289.00,473.00,599.00,597.00,636.00,647.00,670.00,717.66,753.21,705.38,868.50,1132.71,1440.07,1837.49,2130.81,2443.64,2408.70,2533.91,2696.96,2787.95,2707.25,2636.54,2725.06,2883.89,3051.24,3224.75,3325.92,2938.00
PHL,Philippines,800.00,1049.00,1124.00,718.00,806.00,861.00,1020.00,1262.00,1360.00,1465.00,1850.00,2537.00,2587.00,3452.00,5360.00,4875.00,6799.00,5130.00,6693.00,6924.00,8760.00,9735.00,10239.00,11468.00,13732.60,15496.09,16437.43,18850.67,19959.51,21556.63,23053.63,24609.68,26716.84,28690.80,29799.40,31141.97,32809.77,33808.97,35167.47,34913.34
POL,Poland,,,,,,,,,,,,,,581.00,724.00,774.00,848.00,1070.00,825.00,1496.00,1563.00,1685.00,2284.00,4724.00,6471.00,8486.00,10468.00,10475.00,8174.00,7712.00,7768.00,7041.00,7457.00,7468.00,6834.00,6764.00,6933.00,7112.00,6501.00,5930.00
PRT,Portugal,2875.47,2634.10,2186.90,2197.96,2163.22,2654.40,3368.00,3527.00,3704.00,4476.00,4720.00,4762.00,4316.00,3807.00,3950.00,3790.02,3583.39,3627.93,3643.58,3496.07,3647.40,2927.46,3039.81,3302.86,3060.52,3485.35,4161.42,4287.74,3788.65,3726.07,3922.01,3990.92,4455.00,4445.99,4377.75,4433.21,4497.88,4512.32,4326.92,4327.00
ROU,Romania,,,,,,,,,,,,,,11.00,9.00,18.00,16.00,49.00,96.00,96.00,116.00,143.00,124.00,131.00,951.80,1160.46,1624.28,1702.34,682.46,641.39,694.12,733.22,4805.77,5083.52,5391.42,5929.79,6555.66,6983.99,8142.03,7446.92
RUS,Russian Federation,,,,,,,,,,,,,,108.00,165.90,101.50,226.75,301.17,425.21,499.95,986.41,935.98,1113.70,2206.75,3436.56,3820.38,4666.33,5736.97,5105.06,5250.02,6103.27,5787.73,6750.81,7776.54,6903.39,6688.67,8235.00,9287.27,10432.48,9836.32
RWA,Rwanda,3.90,7.18,3.43,2.94,2.86,4.02,4.48,3.81,3.96,,,,,,,,,,,,,,,,,,,,,106.50,174.20,182.40,170.20,183.59,159.20,172.52,215.29,260.51,260.71,241.00
WSM,Samoa,18.56,18.63,20.33,20.27,23.83,28.62,36.63,37.71,40.87,42.86,34.81,40.04,32.27,37.48,40.52,44.27,46.59,42.00,44.67,,,,,0.90,81.60,87.09,96.65,109.01,119.49,138.50,159.58,155.79,160.84,138.54,130.35,129.53,135.54,147.36,146.77,150.00
STP,Sao Tome and Principe,0.96,0.71,1.10,3.25,0.28,0.09,0.07,0.06,0.16,0.31,,,,,,,0.80,0.50,0.56,0.46,0.55,0.80,1.82,1.10,1.50,1.60,2.00,3.00,2.00,6.36,6.88,6.36,26.57,26.83,19.98,18.04,18.19,17.78,11.11,6.00
SEN,Senegal,68.19,66.31,58.97,53.76,79.42,108.95,117.82,117.54,112.76,142.07,162.56,175.68,170.01,113.83,146.03,150.48,150.47,147.42,186.10,234.07,304.94,346.12,512.08,634.03,789.20,926.06,1193.38,1482.09,1355.83,1479.12,1616.03,1576.23,1777.90,1931.62,1757.75,1980.58,2148.91,2427.53,2522.21,2561.90
SRB,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,3764.20,3545.49,4649.88,4117.45,3960.97,3546.46,4024.79,3696.03,3370.44,3205.37,3589.63,4445.61,4237.93,3868.52
SYC,Seychelles,,,,,,,,,4.26,7.50,7.32,10.76,0.29,0.30,0.50,0.70,0.22,0.11,0.19,3.16,1.79,1.98,4.86,6.81,12.10,13.27,4.80,3.16,16.12,17.38,25.26,17.67,12.87,15.08,18.42,22.09,21.66,22.71,23.65,9.98
SLE,Sierra Leone,,0.08,0.05,0.08,0.04,,0.08,0.08,0.05,,,,,,23.67,25.25,5.98,20.33,22.48,7.13,6.22,21.82,25.89,24.71,2.44,15.62,41.97,22.58,35.90,44.22,58.81,64.53,69.66,62.43,48.16,46.83,48.34,62.09,52.98,59.00
SVK,Slovak Republic,,,,,,,,,,,,,78.53,48.49,25.74,20.79,29.13,23.21,19.24,17.80,22.50,24.39,425.32,702.80,1210.90,1343.43,1661.51,2050.36,1672.29,1590.89,1753.89,1927.19,2071.69,2395.64,2138.34,2119.83,2164.33,2210.60,2087.00,1878.84
SVN,Slovenia,,,,,,,,,,,,38.30,52.20,272.90,270.00,275.40,238.00,224.50,222.90,202.30,198.20,212.70,230.70,260.90,261.10,279.40,320.21,380.20,173.46,164.47,210.35,249.09,314.08,373.33,399.51,451.98,502.00,579.41,610.51,557.59
SLB,Solomon Islands,,,,,,,,,,,,,,,,,,,2.36,4.32,4.53,3.22,3.88,8.70,7.16,10.70,12.63,9.14,12.51,14.28,16.93,20.72,20.64,16.34,18.59,20.28,16.33,19.90,25.47,27.51
SOM,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482.00,1577.00,1735.00
ZAF,South Africa,86.86,80.45,73.58,64.80,38.71,35.51,45.23,49.70,88.55,108.14,104.04,91.19,83.29,78.79,82.69,74.89,176.00,258.61,306.86,324.66,281.61,268.20,390.80,468.12,613.58,691.93,792.35,783.69,862.05,1069.57,1158.42,1084.53,970.66,913.40,825.25,755.43,873.86,929.04,890.06,810.88
SSD,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,1138.72,1083.00,633.83,1267.16,700.00,1200.00
LKA,Sri Lanka,230.00,289.00,295.00,301.00,292.00,326.00,350.00,358.00,358.00,400.78,442.09,547.81,632.38,715.19,800.97,843.17,933.73,1013.34,1064.30,1154.29,1169.81,1296.07,1423.47,1573.78,1975.54,2166.77,2507.30,2924.50,3336.70,4123.13,5153.01,5999.60,6422.19,7036.33,6999.73,7261.85,7190.30,7043.04,6748.70,7140.00
KNA,St. Kitts and Nevis,1.11,1.10,1.11,1.31,1.06,10.52,11.30,12.16,19.21,17.38,,,13.61,15.61,18.53,18.97,19.73,21.49,23.17,24.27,24.76,25.39,26.81,28.45,30.27,32.83,36.13,40.10,38.80,47.03,44.67,51.05,51.57,21.80,24.31,22.55,24.79,25.86,25.86,25.86
LCA,St. Lucia,,,0.69,,,17.96,20.44,15.85,15.37,14.59,16.01,0.27,13.91,19.93,21.21,25.17,23.00,23.57,23.95,23.83,24.13,24.56,25.11,26.32,27.06,27.84,28.61,28.90,27.99,28.99,29.44,29.79,30.15,35.30,40.50,38.39,41.96,42.98,42.98,41.00
VCT,St. Vincent and the Grenadines,,,,,,13.89,15.11,14.96,15.37,14.09,0.92,0.87,15.78,15.13,15.50,16.61,17.19,18.05,18.56,19.29,19.45,20.43,20.70,21.45,22.42,25.56,28.87,26.78,29.06,29.06,29.24,31.11,31.59,43.60,41.79,44.90,45.69,46.77,46.77,44.05
SDN,Sudan*,383.67,133.22,275.00,285.00,261.00,113.00,138.00,217.00,417.00,61.90,45.40,123.70,75.20,107.20,346.20,221.52,419.60,686.60,665.10,640.80,739.60,977.69,1223.60,1402.95,703.79,800.83,999.71,1590.63,1394.40,1455.50,824.22,595.84,619.51,506.56,151.39,153.41,212.94,425.21,522.32,496.20
SUR,Suriname,6.10,4.00,6.00,5.90,4.50,1.70,2.10,2.80,2.00,,,,,,,,,,,,,,,,3.90,2.10,2.80,2.20,4.60,4.30,3.89,8.06,6.99,8.83,6.71,1.49,0.66,0.52,0.52,0.52
SYR,Syria,436.00,411.00,387.00,321.00,350.00,323.00,334.00,360.00,430.00,385.00,350.00,550.00,352.00,535.00,339.00,313.00,238.00,220.00,198.00,180.00,170.00,135.00,889.00,855.00,823.00,795.00,1030.44,1325.01,1349.88,1622.54,,,,,,,,,,
TJK,Tajikistan,,,,,,,,,,,,,,,,,,,,,,78.56,146.02,252.00,564.38,975.87,1513.70,2277.50,1565.74,2020.50,2722.46,3222.35,3697.73,3384.06,2258.64,1867.40,2237.18,2183.34,2321.88,2186.81
TZA,Tanzania,,,,,,,,,,,,,,,0.84,19.32,1.59,11.50,7.20,8.00,15.25,12.00,8.90,13.80,19.37,15.38,25.46,36.82,39.83,344.30,409.56,390.14,381.93,389.48,387.77,402.53,403.31,412.91,433.50,409.14
THA,Thailand,477.48,618.39,846.09,893.09,877.70,795.65,841.99,927.20,943.08,973.24,1019.36,444.56,1111.69,1280.92,1695.28,1805.95,1658.41,1424.47,1460.13,1696.79,1252.45,1380.00,1607.35,1621.88,1187.00,1333.36,1634.85,1898.41,3808.00,4433.16,5255.62,5656.79,6584.86,6524.11,5894.67,6270.03,6720.12,7466.08,8162.16,8067.22
TLS,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,3.64,10.44,17.66,113.35,137.14,136.90,119.86,33.65,43.68,61.60,80.17,87.04,96.32,100.38,155.46
TGO,Togo,7.86,6.11,6.08,6.61,15.41,21.42,20.04,21.24,22.86,26.87,28.97,16.25,11.72,15.31,15.02,29.37,26.26,18.57,22.87,34.32,68.56,103.70,149.02,179.34,192.58,232.38,284.83,338.42,335.85,336.93,244.40,344.74,397.47,427.86,363.74,367.17,403.61,450.81,458.48,440.79
TON,Tonga,,8.12,16.48,13.46,21.87,20.87,22.39,16.61,14.87,17.19,23.95,18.04,20.31,21.29,,,,,,,52.81,62.20,58.58,65.45,68.96,78.00,81.80,103.48,81.92,74.03,84.30,91.25,122.68,119.29,129.28,126.23,158.60,183.44,190.37,193.56
TTO,Trinidad and Tobago,4.25,4.92,4.83,3.67,3.31,0.17,2.11,1.72,3.25,2.99,4.80,6.19,18.26,25.67,30.40,28.13,30.20,44.57,54.40,38.10,40.90,79.10,86.80,86.90,92.40,91.20,109.40,94.50,109.30,90.90,161.80,138.79,145.13,144.83,155.20,145.16,135.09,138.71,143.26,178.02
TUN,Tunisia,361.00,372.00,360.00,317.00,271.00,348.00,459.00,498.00,450.00,551.04,524.54,531.41,446.33,628.74,679.88,735.56,684.51,718.35,761.24,795.95,927.15,1070.31,1250.25,1431.35,1392.67,1510.04,1715.76,1976.96,1964.49,2063.29,2004.50,2265.71,2290.51,2346.62,1971.38,1821.25,1890.33,1902.29,2049.66,2100.00
TUR,Turkey,2490.00,2140.00,1510.00,1810.00,1710.00,1630.00,2020.00,1780.00,3063.00,3246.00,2819.00,3008.00,2919.00,2627.00,3327.00,3542.00,4197.00,5356.00,4533.00,4560.00,2786.00,1936.00,729.00,804.00,1368.00,1833.00,2096.00,2439.00,1834.00,1819.00,1883.00,1881.00,1901.00,1739.00,1395.00,1186.00,1048.00,1122.00,810.00,795.00
TKM,Turkmenistan,,,,,,,,,,,,,,,,4.42,,,,,,,,,,14.40,30.30,49.80,33.68,35.30,34.80,37.10,40.00,30.00,16.00,9.00,4.00,2.00,1.00,7.48
TUV,Tuvalu,,,,,,,,,,,,,,,,,,,,,4.30,6.54,5.08,4.86,4.93,3.66,5.60,5.96,4.83,3.92,4.58,3.84,4.06,,,,,,,
UGA,Uganda,,,,,,,,,,,,,,,,,,,232.60,238.10,348.60,441.83,298.79,310.53,321.81,411.00,451.57,723.52,781.10,770.79,816.23,913.26,940.66,887.61,902.16,1146.05,1165.74,1338.05,1424.51,1051.17
UKR,Ukraine,,,,,,,,,,,,,,,,6.00,12.00,12.00,18.00,419.00,829.00,1192.00,1523.00,1873.00,2408.00,3102.00,5290.00,6782.00,5941.00,6535.00,7822.00,8449.00,9667.00,7354.00,8474.00,9472.00,12132.00,14694.00,15788.00,15054.00
URY,Uruguay,,,,,,,,,,,,,,,,,,,,,0.01,36.05,61.75,69.90,76.74,88.93,96.48,107.91,101.07,124.89,128.84,91.60,98.85,97.83,90.27,90.44,109.38,113.96,112.27,110.72
UZB,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3437.52,4910.05,6089.64,6443.50,6815.21,4843.18,5795.06,7130.15,7609.61,8545.81,6989.31
VUT,Vanuatu,,9.35,7.15,8.47,8.74,8.02,8.46,8.01,7.32,6.89,6.97,6.81,4.94,5.76,6.13,,,7.78,9.62,13.51,18.43,4.10,4.00,4.93,5.10,4.99,5.54,8.91,11.49,11.80,21.77,22.04,23.71,64.09,104.81,80.63,25.99,35.10,75.00,76.00
VEN,Venezuela,,,,,1.00,,,,,1.00,2.00,2.00,2.00,2.00,2.00,4.00,17.00,17.00,17.00,17.00,19.00,19.00,208.00,143.00,148.00,165.00,151.00,137.00,132.00,143.00,138.00,118.00,120.00,128.00,161.00,279.00,279.00,279.00,279.00,279.00
VNM,Vietnam,,,,,,,,,,,,,,,,,,,,1340.00,1100.00,1770.00,2100.00,2310.00,3150.00,3800.00,6180.00,6805.00,6020.00,8260.00,8600.00,10000.00,11000.00,12000.00,13000.00,14000.00,15000.00,16000.00,17000.00,17200.00
WBG,West Bank and Gaza,,,,,,,,,,,,,,,582.10,542.30,623.30,1058.25,1096.29,863.80,805.74,771.78,310.08,398.56,378.34,464.06,598.54,740.72,755.24,927.14,1141.71,1737.05,1489.34,1804.54,1817.41,2086.58,2378.92,2833.91,2860.92,2650.00
YEM,Yemen,,,,,,,,,,1500.00,998.00,1020.00,1040.00,1060.00,1080.00,1140.00,1170.00,1200.00,1220.00,1290.00,1300.00,1290.00,1270.00,1280.00,1282.60,1282.60,1321.52,1410.52,1160.00,1526.00,1403.92,3351.00,3342.50,3350.50,3350.50,3770.58,,,,
ZMB,Zambia,,,,,,,,,,,,,,,,,,,,,,,36.30,48.40,52.90,57.68,59.30,68.20,41.26,43.66,46.28,72.86,53.98,58.30,47.05,38.46,93.64,106.97,98.26,134.88
ZWE,Zimbabwe,28.29,32.90,19.56,3.81,0.62,0.79,1.14,1.38,0.71,0.49,0.28,0.41,0.51,0.60,,,,,,,,,,,,,,,648.60,748.60,882.30,944.57,783.25,735.00,790.40,750.30,1013.37,897.90,921.73,1209.72
