"Destination","R_2018","T_2018","Fin_Freedom_2018","GDP_Growth_2018","Migrant_Stock","Population","World_Risk_Index","Unemploy_percent_2018","Delta_GDP_2018"
"Afghanistan",21.63,8.85,10,1.19,0.00846332543732867,37172386,8.69,11.0600004196167,49104.095913
"Albania",508.66,7.17,70,4.07,0.0244203830900063,2866376,8.46,12.3000001907349,37213.4062
"Algeria",42.44,10.06,30,1.2,0.00118408383129763,42228429,7.55,11.8900003433228,39261.61925
"Angola",0.06,12.7,40,-2,-0.00104077402480422,30809762,10.4,7,44085.011923
"Armenia",504.1,4.18,70,5.2,0.00846575078867773,2951776,5.73,18.9699993133545,38162.723
"Azerbaijan",123.34,1.44,60,1.5,-0.000603836848957587,9939771,5.72,4.90000009536743,36631.62108
"Bangladesh",96.47,3.65,30,7.86,0.0114498534511001,161356039,16.4,4.28999996185303,46637.800164
"Belarus",152.48,1.28,10,3.15,-0.00460252065192394,9483499,2.67,4.76000022888184,31842.13762
"Benin",17.33,12.28,50,6.7,0.000870697275274775,11485048,11.46,2.36999988555908,47949.644128
"Bosnia and Herzegovina",680.82,4.1,60,3.74,0.0324694059349643,3323929,4.8,18.3999996185303,35799.83353
"Botswana",14.2,10.56,70,4.48,-0.00665402022779561,2254126,4.2,17.3199996948242,33123.65388
"Brazil",14,3.52,50,1.32,-0.00050604066228635,209469333,4.91,12.3299999237061,36235.60681
"Bulgaria",340.92,4.02,60,3.09,0.00341649446116796,7025037,4.17,5.21000003814697,27553.24441
"Cambodia",88.19,5.13,50,7.47,0.00923082243853124,16249798,15.76,0.129999995231628,46926.758845
"Cameroon",13.25,4.93,50,4.06,0.000951767704277208,25216237,12.97,3.35999989509583,47496.083517
"China",48.4,5.25,20,6.75,0.00125077796845045,1392730000,5.84,4.30000019073486,35573.11253
"Colombia",128.07,1.58,70,2.52,-0.0206193964139627,49661056,6.65,9.10999965667725,36131.73251
"Comoros",195.84,6.96,30,3.43,0.0120145808953746,832322,14.88,7.78000020980835,48045.871735
"Costa Rica",106.81,4.62,50,2.66,-0.00420046961250268,4999441,17.25,9.63000011444092,30812.82752
"Croatia",931.54,0.12,60,2.81,0.00978609012136719,4087843,4.13,8.43000030517578,21731.83455
"Dominican Republic",641.19,4.7,40,6.98,0.0141147709666689,10627165,11.57,5.8600001335144,33044.19333
"Ecuador",177.88,2.53,40,1.29,-0.0106530201868294,17084357,8.42,3.52999997138977,39344.02417
"El Salvador",839.16,2.5,60,2.43,0.0315686157242837,6420744,15.33,4.01000022888184,42361.966061
"Estonia",431.17,5.52,80,4.36,-0.0147922391993204,1321977,2.03,5.36999988555908,13714.16303
"Ethiopia",3.99,4.7,20,6.82,-0.00137333582642343,109224559,7.82,2.0699999332428,49032.663205
"Fiji",322.59,4.75,50,3.81,0.0350974495264765,883483,16,4.15999984741211,37003.85391
"Georgia",545.81,1.2,60,4.87,0.0134172393815297,3726549,5.72,12.6700000762939,36583.03337
"Ghana",118.28,3.91,60,6.26,0.00167970633895641,29767108,9.37,4.15999984741211,45866.442176
"Guatemala",577.36,3.54,50,3.21,0.00281844625450008,16346950,20.09,2.41000008583069,42533.149262
"Guyana",428.75,7.4,30,4.44,0.0385119973710019,779004,22.73,14.0200004577637,38405.83787
"Haiti",282.47,6.43,30,1.67,0.0157329165698718,11123176,14.62,13.5799999237061,48122.212732
"Honduras",498.25,2.59,60,3.7,0.00354627608677195,9587522,11.02,5.65000009536743,45376.988302
"Hungary",449.28,1.68,70,5.41,-0.00306877434386394,9775564,5.07,3.71000003814697,18353.37841
"India",58.25,2.74,40,6.12,0.00196909646569307,1352617328,6.62,5.32999992370605,44532.34795
"Indonesia",41.9,5.35,60,5.17,0.00184850426058382,267663435,10.39,4.40000009536743,39538.87514
"Jamaica",852.51,6.73,50,1.94,0.0193052126936424,2934855,12.08,9.10000038146973,41212.218737
"Jordan",449.18,4.47,60,1.93,-0.00513247725419347,9956011,4.13,16.2900009155273,40920.50081
"Kazakhstan",33.81,1.28,50,4.1,0.00492435681812903,18276498.5,3.58,4.84999990463257,25020.87891
"Kenya",52.93,6.22,50,6.32,0.00097289495205671,51393010,10.39,2.64000010490417,46881.210825
"Latvia",641.87,4,60,4.02,0.038494707794937,1927174,2.99,7.40999984741211,19415.97664
"Lebanon",1018.85,6.83,50,-1.93,0.0219100077749428,6848925,5.27,6.09999990463257,35195.09672
"Lesotho",258.05,7.17,40,-0.45,0.0238286786595906,2108132,6.71,23.9799995422363,48371.919486
"Liberia",95.46,4.83,20,1.22,0.00518782305871142,4818977,9.43,2.94000005722046,49653.946276
"Lithuania",495.08,5.42,70,3.94,0.0585041885846478,2801543,2.26,6.15000009536743,13693.94162
"Malawi",9.98,11.19,50,3.17,0.00442383324105876,18143315,8.89,5.61999988555908,50119.49548
"Malaysia",53.48,1.39,50,4.77,-0.00792928068291044,31528585,7.71,3.29999995231628,22958.45836
"Mali",53.57,5.66,40,4.75,0.0104834495161626,19077690,10.76,7.30999994277954,48848.076393
"Mexico",283.44,2.3,60,2.19,0.00237735261626229,126190788,5.97,3.27999997138977,30838.6279
"Morocco",192.04,5.83,70,3.15,0.00713577993456296,36029138,5.82,9.07999992370605,43574.274942
"Mozambique",10.04,8.96,50,3.44,0.000847573644148308,29495962,9.18,3.24000000953674,49866.261765
"Nepal",295.29,4.05,30,6.7,-0.00742487744977182,28087871,4.77,2.90000009536743,47855.437593
"Nicaragua",232.77,2.96,50,-3.95,0.0164503574581012,6465513,14.67,5.19999980926514,45353.764862
"Nigeria",124.12,7.39,40,1.92,0.00153159105661097,195874740,13.09,8.44999980926514,45906.76555
"North Macedonia",165.15,7.74,60,2.9,0.00239995237541996,2082958,5.81,20.7399997711182,33989.57281
"Pakistan",99.87,5.29,40,5.84,0.00549864446453204,212215030,6.68,4.07999992370605,46332.188144
"Panama",128.8,3.25,70,3.69,-0.0134071588961407,4176873,7.96,3.89000010490417,19381.87991
"Paraguay",98.19,6,60,3.36,0.0119003960712879,6956071,3.38,5.55999994277954,38023.91528
"Peru",100.82,3.99,60,3.98,-0.0154847302481808,31989256,6.37,3.1800000667572,38093.66255
"Philippines",317,2.95,60,6.34,0.00314816642498013,106651922,20.96,2.33999991416931,42463.871201
"Poland",187.28,1.17,70,5.35,0.00387036122686785,37974750,3.04,3.84999990463257,18199.69223
"Romania",358.66,1.01,50,4.47,0.0190009575019598,19472545,5.86,4.19000005722046,21013.28255
"Rwanda",21.22,7.47,40,8.58,0.00365779736023728,12301939,7.56,1.01999998092651,49047.781397
"Samoa",749.5,5.18,30,-2.06,0.0714475093050528,196130,5.87,8.31999969482422,44713.16401
"Senegal",153.14,3.45,40,6.38,0.0063074763030485,15854360,9.74,6.53000020980835,47791.883879
"Serbia",636.73,6.25,50,4.5,-0.00286426095479566,6982604,5.25,12.7299995422363,32891.66963
"Sierra Leone",8.1,10.28,20,3.45,0.00274504277953097,7650154,9.44,4.42000007629395,49483.607582
"South Africa",16.08,3.84,50,0.79,-0.012582740676289,57779622,6.37,26.9099998474121,38248.98508
"Sri Lanka",325.01,3.01,40,3.31,0.0226087678818643,21670000,7.57,4.32000017166138,38009.42941
"Tajikistan",239.87,2.93,30,7.3,0.0109878904544714,9100837,5.83,6.71999979019165,47873.898352
"Thailand",107.54,4.12,60,4.15,-0.0014003178290237,69428524,6.54,0.769999980926514,32660.32243
"Togo",57.17,7.66,30,4.93,0.00126744591964553,7889094,10.97,3.66000008583069,49596.731584
"Tonga",1773.31,4.19,20,0.3,0.0387511264862351,103197,29.72,3.0699999332428,44614.712294
"Tunisia",164.46,8.83,30,2.66,0.00172932531064735,11565204,5.7,15.460000038147,40161.4262
"Turkey",13.63,2.91,60,2.96,-0.0172450772551181,82319724,5.03,10.8900003433228,22355.48588
"Uganda",31.32,2.24,40,6.16,-0.0197426738704757,42723139,8.63,1.75,49013.458991
"Ukraine",329.3,4.3,30,3.41,-0.00112053291120864,44622518,2.75,8.80000019073486,38558.27615
"Uzbekistan",111.94,1.44,10,5.45,0.00134463725986995,32956100,7.82,5.71000003814697,44267.373192
"Vanuatu",119.58,9.43,40,2.9,-0.002050020500205,292680,49.74,1.72000002861023,47982.738269
"Zambia",6.17,10.19,50,4.03,0.00230523342159688,17351822,7.81,12.0100002288818,47580.113368
"Zimbabwe",119.81,6.6,10,4.83,0.0404659098007912,14439018,9.32,5.07000017166138,47981.140731
