ISO,Migrant remittance inflows (US$ million),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020e,Remittances as a share of GDP in 2020e (%)
LBN,Lebanon,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"2,544","4,743","5,591","4,924","5,202","5,769","7,181","7,558","6,914","6,878","6,671","7,567","7,191","7,481","7,606","7,062","6,978","7,410","6,298",32.9%
LSO,Lesotho, 263 , 291 , 348 , 378 , 323 , 224 , 255 , 353 , 372 , 365 ,999,"1,022","1,121","1,037","1,133","1,086",931,874,631,525,478,401,389,557,627,599,614,638,576,548,610,649,555,463,393,371,454,550,544,495,427,20.6%
LBR,Liberia,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,32,79,62,58,25,294,523,547,413,512,654,580,403,460,346,333,11.0%
LTU,Lithuania,,,,,,,,,,,0,0,0,0,1,1,3,3,3,3,50,79,109,115,578,745,994,"1,433","1,565","1,240","1,673","1,955","1,507","2,060","2,113","1,373","1,280","1,303","1,387","1,304",791,1.4%
LUX,Luxembourg,,,,,,,,,,,0,0,0,0,0,0,0,0,0,652,579,577,771,977,"1,112","1,189","1,294","1,479","1,662","1,676","1,670","1,811","1,718","1,922","1,859","1,653","1,717","1,883","2,063","2,006","2,138",2.9%
MAC,Macao SAR,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,47,48,53,53,55,54,52,48,47,48,47,49,37,40,28,25,23,22,22,0.1%
MDG,Madagascar, 0 , 0 , 0 , 0 , 6 , 5 , 6 , 5 , 4 , 10 ,4,9,12,12,11,9,6,12,11,12,11,11,29,16,12,102,150,254,314,284,456,335,330,358,344,327,299,343,426,408,392,2.8%
MWI,Malawi,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,14,18,23,15,21,17,17,22,25,28,34,38,41,39,78,181,217,189,2.2%
MYS,Malaysia,,,,,,,, 49 , 100 , 139 ,185,130,153,176,119,116,164,194,190,323,342,367,435,571,802,"1,117","1,365","1,556","1,329","1,131","1,103","1,211","1,294","1,423","1,580","1,644","1,604","1,649","1,686","1,638","1,454",0.4%
MDV,Maldives,,,, 3 , 3 ,, 1 , 1 , 1 , 1 ,2,2,2,1,2,2,3,2,2,2,2,2,2,2,3,2,3,8,6,5,3,3,3,3,3,4,4,4,4,4,4,0.1%
MLI,Mali, 59 , 48 , 39 , 36 , 32 , 67 , 68 , 88 , 73 , 76 ,107,93,117,126,103,112,111,92,84,86,73,88,138,154,155,177,212,344,431,454,473,784,827,895,920,817,827,883,"1,022","1,022",987,5.6%
MLT,Malta, 35 , 28 , 39 , 43 , 37 , 35 , 46 , 46 , 52 , 70 ,58,42,30,25,24,15,13,9,13,20,17,13,21,26,319,222,209,229,264,260,230,227,200,246,253,274,251,269,277,263,281,1.9%
MHL,Marshall Islands,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,25,23,24,22,22,23,25,26,27,28,30,31,31,31,13.2%
MRT,Mauritania, 6 , 4 , 2 , 1 , 1 , 1 , 2 , 7 , 9 , 5 ,14,12,50,2,5,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,60,64,61,0.7%
MUS,Mauritius,,,,,,,,,,,,,,,118,132,160,168,180,178,177,215,215,215,215,215,215,215,215,211,226,249,249,249,327,224,194,250,245,319,272,2.4%
MEX,Mexico," 1,039 "," 1,220 "," 1,226 "," 1,391 "," 1,564 "," 1,619 "," 1,771 "," 1,987 "," 2,442 "," 2,790 ","3,098","3,030","3,700","3,979","4,122","4,368","4,949","5,546","6,501","6,649","7,525","10,146","11,029","16,654","19,862","22,742","26,543","26,880","26,041","22,076","22,080","23,446","23,209","23,189","24,802","26,233","28,691","32,271","35,768","39,022","42,880",4.0%
FSM,"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,19,21,22,23,23,23,23,23,23,23,5.7%
MDA,Moldova,,,,,,,,,,,0,0,0,0,0,1,87,114,122,110,178,242,323,484,701,915,"1,176","1,491","1,888","1,352","1,753","1,813","1,986","2,192","2,076","1,540","1,467","1,638","1,838","1,910","1,876",16.3%
MNG,Mongolia,,,,,,,,,,,0,0,0,0,0,0,0,0,6,8,1,27,69,79,203,177,155,178,225,200,266,250,324,257,255,261,260,273,441,561,549,4.2%
MNE,Montenegro,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,298,303,416,510,508,545,543,470,481,523,589,584,601,12.5%
MAR,Morocco," 1,050 "," 1,010 ", 849 , 917 , 874 , 972 ," 1,401 "," 1,592 "," 1,301 "," 1,340 ","2,006","1,990","2,170","1,959","1,827","1,970","2,165","1,893","2,011","1,938","2,161","3,261","2,877","3,614","4,221","4,589","5,451","6,730","6,894","6,269","6,423","7,256","6,508","6,882","7,789","6,904","6,383","6,823","6,919","6,963","7,419",6.5%
MOZ,Mozambique, 53 , 65 , 64 , 75 , 57 , 41 , 50 , 58 , 72 , 71 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,80,99,116,111,116,130,174,152,155,143,93,258,296,300,349,2.4%
MMR,Myanmar,,,,,,,, 6 , 7 , 9 ,6,2,0,28,42,81,122,147,136,135,102,116,105,84,117,129,115,81,55,54,115,127,275,"1,644","1,864","2,005","2,346","2,578","2,840","2,421","2,250",2.8%
NAM,Namibia,,,,,,,,,,,12,13,15,15,15,16,14,13,11,10,9,8,8,12,15,17,16,16,14,77,69,79,80,64,81,47,66,48,54,61,56,0.5%
NPL,Nepal,,,,,,,,,,,0,0,0,55,50,57,44,49,68,83,111,147,678,771,823,"1,212","1,453","1,734","2,727","2,983","3,464","4,217","4,793","5,584","5,889","6,730","6,612","6,928","8,294","8,250","8,102",23.5%
NLD,Netherlands, 605 , 556 , 656 , 567 , 493 , 502 , 626 , 754 , 814 , 769 ,465,440,497,480,511,665,697,661,631,486,426,483,484,"1,121","1,298","1,259","1,553","1,630","1,649","1,713","1,720","1,789","1,640","1,619","1,483","2,298","2,160","2,226","2,476","2,396","2,521",0.3%
NZL,New Zealand, 256 , 260 , 294 , 301 , 275 , 256 , 304 , 380 , 492 , 585 ,0,0,0,0,0,0,0,0,0,0,215,0,233,290,322,352,335,384,421,331,371,455,462,459,535,532,528,540,520,497,397,0.2%
NIC,Nicaragua,,,,,,,,,,,0,0,10,25,50,75,95,150,200,300,320,336,377,439,519,616,698,740,820,770,825,914,"1,016","1,081","1,140","1,198","1,268","1,395","1,505","1,686","1,855",15.3%
NER,Niger, 11 , 9 , 7 , 7 , 7 , 9 , 16 , 16 , 16 , 13 ,14,13,18,16,7,8,4,5,19,27,14,22,19,26,60,66,78,79,94,102,134,166,152,146,219,172,176,264,297,309,300,2.2%
NGA,Nigeria, 22 , 16 , 18 , 14 , 12 , 10 , 4 , 3 , 2 , 10 ,10,66,56,793,550,250,297,586,449,"1,301","1,392","1,167","1,209","1,063","2,273","14,640","16,932","18,014","19,200","18,371","19,745","20,617","20,543","20,797","20,999","20,626","19,698","22,037","24,311","23,809","17,208",4.0%
MKD,North Macedonia,,,,,,,,,,,0,0,0,0,0,0,68,78,63,77,81,73,106,174,213,227,267,345,407,381,388,434,394,376,367,307,291,314,344,317,413,3.4%
NOR,Norway, 102 , 125 , 107 , 101 , 101 , 105 , 111 , 135 , 138 , 141 ,49,56,190,166,170,239,309,289,301,288,270,279,333,392,465,505,529,617,685,631,680,765,767,791,760,609,594,616,644,617,578,0.2%
OMN,Oman, 35 , 41 , 43 , 43 , 43 , 43 , 39 , 39 , 39 , 39 ,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,0.1%
PAK,Pakistan," 2,050 "," 2,070 "," 2,590 "," 2,940 "," 2,580 "," 2,540 "," 2,450 "," 2,180 "," 1,870 "," 2,020 ","2,006","1,549","1,574","1,446","1,749","1,712","1,284","1,707","1,172",996,"1,075","1,461","3,554","3,964","3,945","4,280","5,121","5,998","7,039","8,717","9,690","12,263","14,007","14,629","17,244","19,306","19,819","19,856","21,193","22,245","26,105",9.9%
PLW,Palau,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.9%
PAN,Panama, 65 , 62 , 76 , 78 , 74 , 99 , 100 , 104 , 102 , 102 ,110,108,102,109,112,112,86,64,58,48,16,73,85,107,109,130,301,355,378,337,410,368,411,461,756,554,503,533,538,581,447,0.8%
PNG,Papua New Guinea, 5 , 5 , 6 , 4 , 5 , 6 , 7 , 13 , 10 , 7 ,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,7,4,8,7,5,4,12,14,14,10,4,3,4,4,3,2,0.0%
PRY,Paraguay, 52 , 63 , 41 , 33 , 24 , 10 , 14 , 23 , 24 , 40 ,34,42,64,95,148,135,137,141,143,148,152,140,99,110,132,161,336,341,363,377,410,541,634,623,507,554,657,704,683,666,584,1.6%
PER,Peru,,,,,,,,,,,87,148,240,289,473,599,597,636,647,670,718,753,705,869,"1,133","1,440","1,837","2,131","2,444","2,409","2,534","2,697","2,788","2,707","2,637","2,725","2,884","3,051","3,225","3,326","2,938",1.4%
PHL,Philippines, 626 , 800 ," 1,049 "," 1,124 ", 718 , 806 , 861 ," 1,020 "," 1,262 "," 1,360 ","1,465","1,850","2,537","2,587","3,452","5,360","4,875","6,799","5,130","6,693","6,924","8,760","9,735","10,239","11,468","13,733","15,496","16,437","18,851","19,960","21,557","23,054","24,610","26,717","28,691","29,799","31,142","32,810","33,809","35,167","34,913",9.6%
POL,Poland,,,,,,,,,,,0,0,0,0,581,724,774,848,"1,070",825,"1,496","1,563","1,685","2,284","4,724","6,471","8,486","10,468","10,475","8,174","7,712","7,768","7,041","7,457","7,468","6,834","6,764","6,933","7,112","6,501","5,930",1.0%
PRT,Portugal," 2,971 "," 2,875 "," 2,634 "," 2,187 "," 2,198 "," 2,163 "," 2,654 "," 3,368 "," 3,527 "," 3,704 ","4,476","4,720","4,762","4,316","3,807","3,950","3,790","3,583","3,628","3,644","3,496","3,647","2,927","3,040","3,303","3,061","3,485","4,161","4,288","3,789","3,726","3,922","3,991","4,455","4,446","4,378","4,433","4,498","4,512","4,327","4,327",1.9
QAT,Qatar,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,803,574,499,437,379,666,467,577,652,0.4%
ROU,Romania,,,,,,,,,,,0,0,0,0,11,9,18,16,49,96,96,116,143,124,131,952,"1,160","1,624","1,702",682,641,694,733,"4,806","5,084","5,391","5,930","6,556","6,984","8,142","7,447",3.0%
RUS,Russian Federation,,,,,,,,,,,0,0,0,0,108,166,102,227,301,425,500,986,936,"1,114","2,207","3,437","3,820","4,666","5,737","5,105","5,250","6,103","5,788","6,751","7,777","6,903","6,689","8,235","9,287","10,432","9,836",0.7%
RWA,Rwanda, 3 , 4 , 7 , 3 , 3 , 3 , 4 , 4 , 4 , 4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,174,182,170,184,159,173,215,261,261,241,2.3%
WSM,Samoa, 19 , 19 , 19 , 20 , 20 , 24 , 29 , 37 , 38 , 41 ,43,35,40,32,37,41,44,47,42,45,0,0,0,0,1,82,87,97,109,119,139,160,156,161,139,130,130,136,147,147,150,18.7%
STP,Sao Tome and Principe, 1 , 1 , 1 , 1 , 3 , 0 , 0 , 0 , 0 , 0 ,0,0,0,0,0,0,0,1,1,1,0,1,1,2,1,2,2,2,3,2,6,7,6,27,27,20,18,18,18,11,6,1.4%
SAU,Saudi Arabia,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,106,123,216,214,236,244,246,269,273,295,308,291,335,334,302,0.0%
SEN,Senegal, 77 , 68 , 66 , 59 , 54 , 79 , 109 , 118 , 118 , 113 ,142,163,176,170,114,146,150,150,147,186,234,305,346,512,634,789,926,"1,193","1,482","1,356","1,479","1,616","1,576","1,778","1,932","1,758","1,981","2,149","2,428","2,522","2,562",10.5%
SRB,Serbia,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,764","3,545","4,650","4,117","3,961","3,546","4,025","3,696","3,370","3,205","3,590","4,446","4,238","3,869",7.3%
SYC,Seychelles,,,,,,,,,, 4 ,8,7,11,0,0,1,1,0,0,0,3,2,2,5,7,12,13,5,3,16,17,25,18,13,15,18,22,22,23,24,10,0.9%
SLE,Sierra Leone, 0 ,, 0 , 0 , 0 , 0 ,, 0 , 0 , 0 ,0,0,0,0,0,24,25,6,20,22,7,6,22,26,25,2,16,42,23,36,44,59,65,70,62,48,47,48,62,53,59,1.4%
SVK,Slovak Republic,,,,,,,,,,,0,0,0,79,48,26,21,29,23,19,18,22,24,425,703,"1,211","1,343","1,662","2,050","1,672","1,591","1,754","1,927","2,072","2,396","2,138","2,120","2,164","2,211","2,087","1,879",1.8%
SVN,Slovenia,,,,,,,,,,,0,0,38,52,273,270,275,238,225,223,202,198,213,231,261,261,279,320,380,173,164,210,249,314,373,400,452,502,579,611,558,1.1%
SLB,Solomon Islands,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,4,5,3,4,9,7,11,13,9,13,14,17,21,21,16,19,20,16,20,25,28,1.8%
SOM,Somalia,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,482","1,577","1,735",35.3%
ZAF,South Africa, 67 , 87 , 80 , 74 , 65 , 39 , 36 , 45 , 50 , 89 ,108,104,91,83,79,83,75,176,259,307,325,282,268,391,468,614,692,792,784,862,"1,070","1,158","1,085",971,913,825,755,874,929,890,811,0.3%
SSD,South Sudan,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"1,139","1,083",634,"1,267",700,"1,200",29.5%
ESP,Spain," 2,190 "," 1,820 "," 1,579 "," 1,349 "," 1,227 "," 1,232 "," 1,429 "," 1,588 "," 1,790 "," 1,860 ","2,190","2,134","2,633","2,320","2,635","3,242","3,496","3,528","3,930","4,647","4,862","5,099","5,584","6,568","7,540","6,662","7,353","8,963","9,742","8,584","8,707","9,676","9,724","10,666","10,761","10,304","10,263","10,635","10,986","9,975","8,509",0.7%
LKA,Sri Lanka, 152 , 230 , 289 , 295 , 301 , 292 , 326 , 350 , 358 , 358 ,401,442,548,632,715,801,843,934,"1,013","1,064","1,154","1,170","1,296","1,423","1,574","1,976","2,167","2,507","2,925","3,337","4,123","5,153","6,000","6,422","7,036","7,000","7,262","7,190","7,043","6,749","7,140",8.8%
KNA,St. Kitts and Nevis, 1 , 1 , 1 , 1 , 1 , 1 , 11 , 11 , 12 , 19 ,17,0,0,14,16,19,19,20,21,23,24,25,25,27,28,30,33,36,40,39,47,45,51,52,22,24,23,25,26,26,26,3.0%
LCA,St. Lucia,,,, 1 ,,, 18 , 20 , 16 , 15 ,15,16,0,14,20,21,25,23,24,24,24,24,25,25,26,27,28,29,29,28,29,29,30,30,35,41,38,42,43,43,41,2.4%
VCT,St. Vincent and the Grenadines,,,,,,, 14 , 15 , 15 , 15 ,14,1,1,16,15,16,17,17,18,19,19,19,20,21,21,22,26,29,27,29,29,29,31,32,44,42,45,46,47,47,44,5.6%
SDN,Sudan*, 263 , 384 , 133 , 275 , 285 , 261 , 113 , 138 , 217 , 417 ,62,45,124,75,107,346,222,420,687,665,641,740,978,"1,224","1,403",704,801,"1,000","1,591","1,394","1,456",824,596,620,507,151,153,213,425,522,496,1.4%
SUR,Suriname, 6 , 6 , 4 , 6 , 6 , 5 , 2 , 2 , 3 , 2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,5,4,4,8,7,9,7,1,1,1,1,1,0.0%
SWE,Sweden, 66 , 68 , 0 , 25 , 22 , 23 , 18 , 98 , 104 , 127 ,114,169,195,194,212,255,270,316,126,364,438,578,512,"1,357","1,596","1,812","2,245","3,205","4,095","3,968","4,061","4,385","4,293","4,592","4,558","3,397","2,821","3,109","3,074","3,185","3,091",0.6%
CHE,Switzerland, 609 , 443 , 527 , 551 , 495 , 498 , 652 , 779 , 826 , 755 ,924,987,"1,045","1,052","1,212","1,473","1,390","1,208","1,227","1,222",995,"1,176","1,225","1,533","1,695","1,721","1,795","1,796","2,215","2,342","2,495","2,615","2,420","2,437","2,406","2,517","2,524","2,592","2,551","2,413","2,557",0.3%
SYR,Syria, 774 , 436 , 411 , 387 , 321 , 350 , 323 , 334 , 360 , 430 ,385,350,550,352,535,339,313,238,220,198,180,170,135,889,855,823,795,"1,030","1,325","1,350","1,623",,,,,,,,,,,-
TJK,Tajikistan,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,79,146,252,564,976,"1,514","2,278","1,566","2,021","2,722","3,222","3,698","3,384","2,259","1,867","2,237","2,183","2,322","2,187",27.3%
TZA,Tanzania,,,,,,,,,,,0,0,0,0,0,1,19,2,12,7,8,15,12,9,14,19,15,25,37,40,344,410,390,382,389,388,403,403,413,433,409,0.6%
THA,Thailand, 383 , 477 , 618 , 846 , 893 , 878 , 796 , 842 , 927 , 943 ,973,"1,019",445,"1,112","1,281","1,695","1,806","1,658","1,424","1,460","1,697","1,252","1,380","1,607","1,622","1,187","1,333","1,635","1,898","3,808","4,433","5,256","5,657","6,585","6,524","5,895","6,270","6,720","7,466","8,162","8,067",1.6%
TLS,Timor-Leste,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,18,113,137,137,120,34,44,62,80,87,96,100,155,8.7%
TGO,Togo, 10 , 8 , 6 , 6 , 7 , 15 , 21 , 20 , 21 , 23 ,27,29,16,12,15,15,29,26,19,23,34,69,104,149,179,193,232,285,338,336,337,244,345,397,428,364,367,404,451,458,441,5.9%
TON,Tonga,,, 8 , 16 , 13 , 22 , 21 , 22 , 17 , 15 ,17,24,18,20,21,0,0,0,0,0,0,53,62,59,65,69,78,82,103,82,74,84,91,123,119,129,126,159,183,190,194,37.7%
TTO,Trinidad and Tobago, 6 , 4 , 5 , 5 , 4 , 3 , 0 , 2 , 2 , 3 ,3,5,6,18,26,30,28,30,45,54,38,41,79,87,87,92,91,109,95,109,91,162,139,145,145,155,145,135,139,143,178,0.8%
TUN,Tunisia, 319 , 361 , 372 , 360 , 317 , 271 , 348 , 459 , 498 , 450 ,551,525,531,446,629,680,736,685,718,761,796,927,"1,070","1,250","1,431","1,393","1,510","1,716","1,977","1,964","2,063","2,004","2,266","2,291","2,347","1,971","1,821","1,890","1,902","2,050","2,100",5.3%
TUR,Turkey," 2,070 "," 2,490 "," 2,140 "," 1,510 "," 1,810 "," 1,710 "," 1,630 "," 2,020 "," 1,780 "," 3,063 ","3,246","2,819","3,008","2,919","2,627","3,327","3,542","4,197","5,356","4,533","4,560","2,786","1,936",729,804,"1,368","1,833","2,096","2,439","1,834","1,819","1,883","1,881","1,901","1,739","1,395","1,186","1,048","1,122",810,795,0.1%
TKM,Turkmenistan,,,,,,,,,,,,,,,,,4,,,,,,,,,,14,30,50,34,35,35,37,40,30,16,9,4,2,1,7,-
TUV,Tuvalu,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4,7,5,5,5,4,6,6,5,4,5,4,4,0,0,0,0,0,0,0,-
UGA,Uganda,,,,,,,,,,,0,0,0,0,0,0,0,0,0,233,238,349,442,299,311,322,411,452,724,781,771,816,913,941,888,902,"1,146","1,166","1,338","1,425","1,051",2.8%
UKR,Ukraine,,,,,,,,,,,0,0,0,0,0,0,6,12,12,18,419,829,"1,192","1,523","1,873","2,408","3,102","5,290","6,782","5,941","6,535","7,822","8,449","9,667","7,354","8,474","9,472","12,132","14,694","15,788","15,054",9.9%
GBR,United Kingdom,,,,,,,," 1,369 "," 1,627 "," 1,685 ",977,972,972,892,"1,045","1,399","1,421","1,649","1,392","5,447","5,074","4,956","5,235","5,689","5,938","6,045","6,106","6,556","5,995","5,243","4,951","5,099","4,945","4,805","4,936","5,003","4,582","4,309","4,390","4,215","3,307",0.1%
USA,United States, 80 , 80 , 80 , 80 , 80 , 80 , 908 , 994 , 995 ," 1,020 ","1,170","1,300","1,796","1,820","1,943","2,179","2,181","2,270","2,437","4,246","4,395","4,513","4,570","4,672","4,734","4,795","5,068","5,219","5,364","5,740","5,930","6,104","6,303","6,613","6,503","6,578","6,330","6,347","6,651","6,724","6,166",0.03%
URY,Uruguay,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,36,62,70,77,89,96,108,101,125,129,92,99,98,90,90,109,114,112,111,0.2%
UZB,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,438","4,910","6,090","6,443","6,815","4,843","5,795","7,130","7,610","8,546","6,989",12.1%
VUT,Vanuatu,,, 9 , 7 , 8 , 9 , 8 , 8 , 8 , 7 ,7,7,7,5,6,6,0,0,8,10,14,18,4,4,5,5,5,6,9,11,12,22,22,24,64,105,81,26,35,75,76,8.8%
VEN,Venezuela,,,,,, 1 ,,,,,1,2,2,2,2,2,4,17,17,17,17,19,19,208,143,148,165,151,137,132,143,138,118,120,128,161,279,279,279,279,279,0.6%
VNM,Vietnam,,,,,,,,,,,,,,,,,,,,,"1,340","1,100","1,770","2,100","2,310","3,150","3,800","6,180","6,805","6,020","8,260","8,600","10,000","11,000","12,000","13,000","14,000","15,000","16,000","17,000","17,200",5%
WBG,West Bank and Gaza,,,,,,,,,,,0,0,0,0,0,582,542,623,"1,058","1,096",864,806,772,310,399,378,464,599,741,755,927,"1,142","1,737","1,489","1,805","1,817","2,087","2,379","2,834","2,861","2,650",17.1%
YEM,Yemen,,,,,,,,,,,"1,500",998,"1,020","1,040","1,060","1,080","1,140","1,170","1,200","1,220","1,290","1,300","1,290","1,270","1,280","1,283","1,283","1,322","1,411","1,160","1,526","1,404","3,351","3,343","3,351","3,351","3,771",,,,,-
ZMB,Zambia,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,36,48,53,58,59,68,41,44,46,73,54,58,47,38,94,107,98,135,0.0
ZWE,Zimbabwe, 17 , 28 , 33 , 20 , 4 , 1 , 1 , 1 , 1 , 1 ,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,749,882,945,783,735,790,750,"1,013",898,922,"1,210",0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
